Timestamp,PDF_Name,Task,Provider,Model,Prompt_Tokens,Completion_Tokens,Total_Tokens,Cost_USD,Cost_KRW
2026-06-05 14:42:09,VST.pdf,Layout Extraction (Page 1),Gemini,gemini-3.1-flash-lite,1470,258,1728,0.00018765,0.2627
2026-06-05 14:42:11,VST.pdf,Layout Extraction (Page 2),Gemini,gemini-3.1-flash-lite,1470,168,1638,0.00016065,0.2249
2026-06-05 14:42:14,VST.pdf,Layout Extraction (Page 3),Gemini,gemini-3.1-flash-lite,1470,783,2253,0.00034515,0.4832
2026-06-05 14:44:26,VST.pdf,Layout Extraction (Page 4),Gemini,gemini-3.1-flash-lite,1470,65519,66989,0.01976595,27.6723
2026-06-05 14:44:30,VST.pdf,Layout Extraction (Page 5),Gemini,gemini-3.1-flash-lite,1470,848,2318,0.00036465,0.5105
2026-06-05 14:44:33,VST.pdf,Layout Extraction (Page 6),Gemini,gemini-3.1-flash-lite,1470,886,2356,0.00037605,0.5265
2026-06-05 14:44:36,VST.pdf,Layout Extraction (Page 7),Gemini,gemini-3.1-flash-lite,1470,611,2081,0.00029355,0.4110
2026-06-05 14:44:44,VST.pdf,Layout Extraction (Page 8),Gemini,gemini-3.1-flash-lite,1470,620,2090,0.00029625,0.4147
2026-06-05 14:44:56,VST.pdf,Layout Extraction (Page 9),Gemini,gemini-3.1-flash-lite,1470,1237,2707,0.00048135,0.6739
2026-06-05 14:44:58,VST.pdf,Layout Extraction (Page 10),Gemini,gemini-3.1-flash-lite,1470,269,1739,0.00019095,0.2673
2026-06-05 14:45:00,VST.pdf,Metadata Extraction,Gemini,gemini-3.1-flash-lite,1296,267,1563,0.00017730,0.2482
2026-06-05 14:45:27,VST.pdf,"Translate Block (Page 1, Block 1)",Gemini,gemini-3.1-flash-lite,270,13,283,0.00002415,0.0338
2026-06-05 14:45:28,VST.pdf,"Translate Block (Page 1, Block 2)",Gemini,gemini-3.1-flash-lite,278,11,289,0.00002415,0.0338
2026-06-05 14:45:29,VST.pdf,"Translate Block (Page 1, Block 3)",Gemini,gemini-3.1-flash-lite,274,5,279,0.00002205,0.0309
2026-06-05 14:45:29,VST.pdf,"Translate Block (Page 1, Block 5)",Gemini,gemini-3.1-flash-lite,275,13,288,0.00002452,0.0343
2026-06-05 14:45:30,VST.pdf,"Translate Block (Page 2, Block 1)",Gemini,gemini-3.1-flash-lite,290,14,304,0.00002595,0.0363
2026-06-05 14:45:31,VST.pdf,"Translate Block (Page 2, Block 2)",Gemini,gemini-3.1-flash-lite,290,15,305,0.00002625,0.0368
2026-06-05 14:45:32,VST.pdf,"Translate Block (Page 3, Block 1)",Gemini,gemini-3.1-flash-lite,332,68,400,0.00004530,0.0634
2026-06-05 14:45:32,VST.pdf,"Translate Block (Page 3, Block 2)",Gemini,gemini-3.1-flash-lite,343,31,374,0.00003502,0.0490
2026-06-05 14:45:33,VST.pdf,"Translate Block (Page 3, Block 3)",Gemini,gemini-3.1-flash-lite,397,10,407,0.00003277,0.0459
2026-06-05 14:45:34,VST.pdf,"Translate Block (Page 3, Block 4)",Gemini,gemini-3.1-flash-lite,372,114,486,0.00006210,0.0869
2026-06-05 14:45:35,VST.pdf,"Translate Block (Page 3, Block 5)",Gemini,gemini-3.1-flash-lite,383,8,391,0.00003112,0.0436
2026-06-05 14:45:36,VST.pdf,"Translate Block (Page 3, Block 6)",Gemini,gemini-3.1-flash-lite,307,56,363,0.00003982,0.0558
